Type,Name,Max Volume C3 m,Max Weight Kg,Max working Hours,Fixed Cost,Per Km Cost
1,Bolero_Max,16,2000,11,3800,20
2,Bolero,12,1500,10,3200,20
3,Pickup,10,1200,9.5,2500,18
4,Chhota_Hathi,8,1000,9,2100,15
5,Bolero_Max,16,2000,11,3800,20
6,Bolero,12,1500,10,3200,20
7,Pickup,10,1200,9.5,2500,18
8,Chhota_Hathi,8,1000,9,2100,15
9,Bolero_Max,16,2000,11,3800,20
10,Bolero,12,1500,10,3200,20
11,Pickup,10,1200,9.5,2500,18
12,Chhota_Hathi,8,1000,9,2100,15
13,Bolero_Max,16,2000,11,3800,20
14,Bolero,12,1500,10,3200,20
15,Pickup,10,1200,9.5,2500,18
16,Chhota_Hathi,8,1000,9,2100,15
17,Bolero_Max,16,2000,11,3800,20
18,Bolero,12,1500,10,3200,20
19,Pickup,10,1200,9.5,2500,18
20,Chhota_Hathi,8,1000,9,2100,15
21,Bolero_Max,16,2000,11,3800,20
22,Bolero,12,1500,10,3200,20
23,Pickup,10,1200,9.5,2500,18
24,Chhota_Hathi,8,1000,9,2100,15
25,Bolero_Max,16,2000,11,3800,20
26,Bolero,12,1500,10,3200,20
27,Pickup,10,1200,9.5,2500,18
28,Chhota_Hathi,8,1000,9,2100,15
29,Bolero_Max,16,2000,11,3800,20
30,Bolero,12,1500,10,3200,20
31,Pickup,10,1200,9.5,2500,18
32,Chhota_Hathi,8,1000,9,2100,15
33,Bolero_Max,16,2000,11,3800,20
34,Bolero,12,1500,10,3200,20
35,Pickup,10,1200,9.5,2500,18
36,Chhota_Hathi,8,1000,9,2100,15
37,Bolero_Max,16,2000,11,3800,20
38,Bolero,12,1500,10,3200,20
39,Pickup,10,1200,9.5,2500,18
40,Chhota_Hathi,8,1000,9,2100,15
41,Bolero_Max,16,2000,11,3800,20
42,Bolero,12,1500,10,3200,20
43,Pickup,10,1200,9.5,2500,18
44,Chhota_Hathi,8,1000,9,2100,15
45,Bolero_Max,16,2000,11,3800,20
46,Bolero,12,1500,10,3200,20
47,Pickup,10,1200,9.5,2500,18
48,Chhota_Hathi,8,1000,9,2100,15
49,Bolero_Max,16,2000,11,3800,20
50,Bolero,12,1500,10,3200,20
51,Pickup,10,1200,9.5,2500,18
52,Chhota_Hathi,8,1000,9,2100,15
53,Bolero_Max,16,2000,11,3800,20
54,Bolero,12,1500,10,3200,20
55,Pickup,10,1200,9.5,2500,18
56,Chhota_Hathi,8,1000,9,2100,15
57,Bolero_Max,16,2000,11,3800,20
58,Bolero,12,1500,10,3200,20
59,Pickup,10,1200,9.5,2500,18
60,Chhota_Hathi,8,1000,9,2100,15
61,Bolero_Max,16,2000,11,3800,20
62,Bolero,12,1500,10,3200,20
63,Pickup,10,1200,9.5,2500,18
64,Chhota_Hathi,8,1000,9,2100,15
65,Bolero_Max,16,2000,11,3800,20
66,Bolero,12,1500,10,3200,20
67,Pickup,10,1200,9.5,2500,18
68,Chhota_Hathi,8,1000,9,2100,15
69,Bolero_Max,16,2000,11,3800,20
70,Bolero,12,1500,10,3200,20
71,Pickup,10,1200,9.5,2500,18
72,Chhota_Hathi,8,1000,9,2100,15
