Type,Name,Max Volume C3 m,Max Weight Kg,Max working Hours,Fixed Cost,Per Km Cost
1,Bolero_Max,16,2000,11,3800,15
2,Bolero,12,1500,10,3200,15
3,Pickup,10,1200,9.5,2500,15
4,Chhota_Hathi,8,1000,9,2100,15
5,Bolero_Max,16,2000,11,3800,15
6,Bolero,12,1500,10,3200,15
7,Pickup,10,1200,9.5,2500,18
8,Chhota_Hathi,8,1000,9,2100,18
9,Bolero_Max,16,2000,11,3800,18
10,Bolero,12,1500,10,3200,18
11,Pickup,10,1200,9.5,2500,18
12,Chhota_Hathi,8,1000,9,2100,18
13,Bolero_Max,16,2000,11,3800,20
14,Bolero,12,1500,10,3200,20
15,Pickup,10,1200,9.5,2500,20
16,Chhota_Hathi,8,1000,9,2100,20
17,Bolero_Max,16,2000,11,3800,20
18,Bolero,12,1500,10,3200,20
19,Pickup,10,1200,9.5,2500,20
20,Chhota_Hathi,8,1000,9,2100,20
21,Bolero_Max,16,2000,11,3800,20
22,Bolero,12,1500,10,3200,20
23,Pickup,10,1200,9.5,2500,20
24,Chhota_Hathi,8,1000,9,2100,20
